video_file_name,frame_num,model_name,model_version,confidence,pt0_forehead_x,pt0_forehead_y,pt1_upperchest_x,pt1_upperchest_y,pt2_rightshoulder_x,pt2_rightshoulder_y,pt3_rightelbow_x,pt3_rightelbow_y,pt4_rightwrist_x,pt4_rightwrist_y,pt5_leftshoulder_x,pt5_leftshoulder_y,pt6_leftelbow_x,pt6_leftelbow_y,pt7_leftwrist_x,pt7_leftwrist_y,pt8_navel_x,pt8_navel_y,pt9_righthip_x,pt9_righthip_y,pt10_rightknee_x,pt10_rightknee_y,pt11_rightankle_x,pt11_rightankle_y,pt12_lefthip_x,pt12_lefthip_y,pt13_leftknee_x,pt13_leftknee_y,pt14_leftankle_x,pt14_leftankle_y
VID-20201122_2.mp4,76,posenet_tflite,v1,0.94,-1.0,-1.0,-1.0,-1.0,150.0,105.0,160.0,97.0,183.0,103.0,147.0,107.0,163.0,116.0,166.0,119.0,-1.0,-1.0,166.0,90.0,189.0,102.0,209.0,102.0,166.0,93.0,188.0,102.0,208.0,100.0
VID-20201122_2.mp4,93,posenet_tflite,v1,0.88,-1.0,-1.0,-1.0,-1.0,149.0,102.0,159.0,100.0,157.0,113.0,148.0,99.0,157.0,94.0,156.0,112.0,-1.0,-1.0,165.0,90.0,186.0,100.0,207.0,93.0,165.0,88.0,185.0,99.0,207.0,99.0
VID-20201122_2.mp4,81,posenet_tflite,v1,0.88,-1.0,-1.0,-1.0,-1.0,150.0,103.0,161.0,101.0,162.0,114.0,148.0,101.0,159.0,97.0,160.0,115.0,-1.0,-1.0,166.0,90.0,188.0,98.0,212.0,100.0,165.0,87.0,187.0,97.0,211.0,96.0
VID-20201122_2.mp4,72,posenet_tflite,v1,0.76,-1.0,-1.0,-1.0,-1.0,143.0,110.0,150.0,102.0,-1.0,-1.0,138.0,106.0,150.0,97.0,-1.0,-1.0,-1.0,-1.0,163.0,95.0,185.0,105.0,209.0,99.0,163.0,92.0,185.0,103.0,206.0,101.0
VID-20201122_2.mp4,102,posenet_tflite,v1,0.88,-1.0,-1.0,-1.0,-1.0,131.0,108.0,129.0,90.0,126.0,87.0,132.0,107.0,129.0,95.0,-1.0,-1.0,-1.0,-1.0,155.0,94.0,183.0,102.0,208.0,97.0,156.0,94.0,182.0,100.0,206.0,95.0
VID-20201122_2.mp4,96,posenet_tflite,v1,0.88,-1.0,-1.0,-1.0,-1.0,148.0,103.0,159.0,96.0,161.0,99.0,146.0,103.0,156.0,99.0,158.0,114.0,-1.0,-1.0,164.0,90.0,185.0,101.0,208.0,94.0,164.0,92.0,184.0,99.0,207.0,97.0
VID-20201122_2.mp4,86,posenet_tflite,v1,0.94,-1.0,-1.0,-1.0,-1.0,151.0,101.0,163.0,97.0,184.0,101.0,149.0,105.0,162.0,112.0,164.0,116.0,-1.0,-1.0,161.0,85.0,187.0,97.0,208.0,92.0,162.0,89.0,186.0,97.0,209.0,96.0
VID-20201122_2.mp4,68,posenet_tflite,v1,0.82,-1.0,-1.0,-1.0,-1.0,131.0,114.0,145.0,98.0,161.0,95.0,129.0,111.0,145.0,96.0,-1.0,-1.0,-1.0,-1.0,160.0,102.0,184.0,106.0,207.0,102.0,160.0,98.0,184.0,105.0,206.0,100.0
VID-20201122_2.mp4,85,posenet_tflite,v1,0.94,-1.0,-1.0,-1.0,-1.0,150.0,102.0,162.0,97.0,164.0,111.0,149.0,103.0,161.0,100.0,163.0,116.0,-1.0,-1.0,163.0,87.0,186.0,97.0,208.0,93.0,163.0,89.0,186.0,96.0,208.0,96.0
VID-20201122_2.mp4,53,posenet_tflite,v1,0.88,-1.0,-1.0,-1.0,-1.0,72.0,104.0,61.0,107.0,-1.0,-1.0,72.0,109.0,58.0,114.0,35.0,110.0,-1.0,-1.0,115.0,105.0,145.0,106.0,175.0,103.0,115.0,107.0,146.0,104.0,179.0,102.0
